,name,latitude,longitude
0,Science Park/West End,42.366664,-71.067666
1,Boylston,42.353214,-71.064545
2,Quincy Center,42.251809,-71.005409
3,Dean Road,42.337807,-71.141753
4,Copley,42.350126,-71.077376
5,JFK/UMass,42.320434,-71.052215
6,Boston University Central,42.350013,-71.106902
7,Milton,42.270308,-71.067289
8,Saint Paul Street,42.343118,-71.117498
9,Symphony,42.342687,-71.085056
10,Fields Corner,42.299935,-71.061945
11,Griggs Street,42.348919,-71.134305
12,Haymarket,42.363021,-71.05829
13,Chestnut Hill Avenue,42.33873,-71.152526
14,Beaconsfield,42.335625,-71.140112
15,Downtown Crossing,42.355518,-71.060225
16,Kenmore,42.348949,-71.095169
17,Government Center,42.359705,-71.059215
18,Bowdoin,42.361365,-71.062037
19,Englewood Avenue,42.336964,-71.145867
20,Riverside,42.337317,-71.252256
21,Mattapan,42.267559,-71.092233
22,Woodland,42.332703,-71.243055
23,Sullivan Square,42.383975,-71.076994
24,Northeastern University,42.339897,-71.09021
25,Mattapan,42.267625,-71.092389
26,Park Street,42.3563946,-71.0624242
27,Savin Hill,42.310603,-71.053678
28,Valley Road,42.268347,-71.081343
29,Medford/Tufts,42.408306,-71.11728
30,Waban,42.325695,-71.230476
31,Amory Street,42.350901,-71.114318
32,Wood Island,42.379671,-71.022783
33,Reservoir,42.335163,-71.148601
34,Community College,42.373622,-71.069533
35,Chinatown,42.352547,-71.062752
36,Blandford Street,42.349276,-71.100213
37,Suffolk Downs,42.390422,-70.997323
38,Braintree,42.207424,-71.001645
39,South Street,42.339581,-71.157499
40,Englewood Avenue,42.337011,-71.145368
41,Hynes Convention Center,42.347888,-71.087903
42,Jackson Square,42.323132,-71.099592
43,Aquarium,42.359784,-71.051652
44,Central,42.365379,-71.103554
45,Revere Beach,42.407874,-70.992497
46,Central Avenue,42.270001,-71.073358
47,Woodland,42.333094,-71.243659
48,North Quincy,42.275802,-71.030144
49,Green Street,42.309832,-71.108059
50,Beachmont,42.397219,-70.992647
51,Ashmont,42.283768,-71.063191
52,Roxbury Crossing,42.33064,-71.09604
53,Back of the Hill,42.329399,-71.110931
54,Boston College,42.34024,-71.166849
55,Wollaston,42.266762,-71.020542
56,Babcock Street,42.351695,-71.120257
57,Bowdoin,42.361365,-71.062037
58,North Station,42.36528,-71.060205
59,Maverick,42.3691186,-71.0395296
60,Community College,42.373622,-71.069533
61,Ashmont,42.28453,-71.063725
